trade_id,counterparty,currency_pair,notional,rate,settlement_date,status,created_at
47c6875a-424f-405a-a134-ddb5fa365376,HSBC Holdings,GBP/USD,3200739.72,0.525011,2026-02-15,OPEN,2026-03-02T12:47:18.682232
51df39ae-4319-4bcc-a911-3230abb67901,BNP Paribas,EUR/USD,706294.26,0.602495,2026-02-08,PENDING,2026-03-02T12:47:18.682341
6fc9eaf3-a44e-4b2c-998c-3b46d549deb7,Deutsche Bank AG,GBP/USD,2115389.88,0.529797,2026-02-16,PENDING,2026-03-02T12:47:18.682414
32affb0f-fcca-4c66-99c2-8030bdc86ac8,BNP Paribas,USD/CHF,3014073.46,1.061245,2026-03-02,OPEN,2026-03-02T12:47:18.682473
1cb33d73-62dd-4a1b-8350-b1c5342ce5d1,Barclays PLC,GBP/EUR,2251553.14,0.778191,2026-02-15,OPEN,2026-03-02T12:47:18.682538
ba26e019-93ef-42a8-9ee2-0e29bd3906f4,Deutsche Bank AG,GBP/USD,3493715.58,0.840251,2026-02-05,SETTLED,2026-03-02T12:47:18.682595
c0d7bb0d-270c-4c16-b341-d2eaf1037b82,HSBC Holdings,GBP/EUR,520029.28,0.879927,2026-02-02,SETTLED,2026-03-02T12:47:18.682646
f1cbdde3-2b62-499a-b07f-9d1308cabd16,Societe Generale,AUD/USD,3022592.9,1.307128,2026-02-18,OPEN,2026-03-02T12:47:18.682695
e6282afa-92ae-4964-b5bc-f3b4f4404071,BNP Paribas,USD/JPY,4865847.66,0.878534,2026-02-23,PENDING,2026-03-02T12:47:18.682744
cb174c6f-c7c5-4748-9275-13215f169d5d,BNP Paribas,GBP/USD,3096413.56,1.361707,2026-02-15,PENDING,2026-03-02T12:47:18.682797
dc1f5d69-95a2-4b96-823d-11b4e796b88a,HSBC Holdings,EUR/USD,357080.19,1.161263,2026-02-28,OPEN,2026-03-02T12:47:18.682851
11752bcd-e609-4c39-a7d6-66572b283611,Societe Generale,USD/CAD,4333753.5,0.880126,2026-02-26,SETTLED,2026-03-02T12:47:18.682907
5ca1c351-95cf-411c-ac0f-b5f7f654b568,HSBC Holdings,USD/CAD,821643.94,0.855271,2026-02-05,PENDING,2026-03-02T12:47:18.682958
7c3ecff3-9f04-4201-b128-b006b67e98b9,Deutsche Bank AG,AUD/USD,3243696.57,1.109131,2026-02-24,PENDING,2026-03-02T12:47:18.683006
2d8ae7f8-e731-4950-957a-dfcb3bea6a6c,HSBC Holdings,USD/CAD,1231606.52,0.96226,2026-02-10,PENDING,2026-03-02T12:47:18.683055
f832c1ef-30a3-4939-b358-4bcb3110cfae,Barclays PLC,GBP/USD,2789179.22,1.184614,2026-02-05,OPEN,2026-03-02T12:47:18.683110
ecd8767d-fb94-4737-a958-3cdf327ee415,Barclays PLC,GBP/USD,4027178.55,0.901165,2026-02-13,PENDING,2026-03-02T12:47:18.683160
ce24b385-ca41-4546-825b-42a542139ba0,Societe Generale,USD/CHF,4383074.46,0.814678,2026-02-03,PENDING,2026-03-02T12:47:18.683207
79091428-10ba-4039-945e-36ffef3661c8,Deutsche Bank AG,USD/CAD,2299670.74,0.76488,2026-02-24,PENDING,2026-03-02T12:47:18.683256
db67cf29-0386-4945-bd63-f6b78e5ff18b,Societe Generale,AUD/USD,2699496.68,1.247014,2026-02-15,SETTLED,2026-03-02T12:47:18.683306
acf69e6f-e35c-42f9-8805-22c769b41bea,Deutsche Bank AG,AUD/USD,1816362.25,1.497326,2026-02-08,SETTLED,2026-03-02T12:47:18.683357
ea6ded71-8c74-419b-bfcf-323ae2c2fe1c,Barclays PLC,GBP/USD,463637.97,0.547116,2026-02-02,PENDING,2026-03-02T12:47:18.683404
